#   Theta  Young's-Modulus  Shear-Modulus    Poisson's-Ratio
#   You can plot in 2D-polar coordinates 
    0.000    180.0674           65.3244           0.3783
    0.500    180.0674           65.3244           0.3783
    1.000    180.0674           65.3244           0.3783
    1.500    180.0674           65.3244           0.3783
    2.000    180.0674           65.3244           0.3783
    2.500    180.0674           65.3244           0.3783
    3.000    180.0674           65.3244           0.3783
    3.500    180.0674           65.3244           0.3783
    4.000    180.0674           65.3244           0.3783
    4.500    180.0674           65.3244           0.3783
    5.000    180.0674           65.3244           0.3783
    5.500    180.0674           65.3244           0.3783
    6.000    180.0674           65.3244           0.3783
    6.500    180.0674           65.3244           0.3783
    7.000    180.0674           65.3244           0.3783
    7.500    180.0674           65.3244           0.3783
    8.000    180.0674           65.3244           0.3783
    8.500    180.0674           65.3244           0.3783
    9.000    180.0674           65.3244           0.3783
    9.500    180.0674           65.3244           0.3783
   10.000    180.0674           65.3244           0.3783
   10.500    180.0674           65.3244           0.3783
   11.000    180.0674           65.3244           0.3783
   11.500    180.0674           65.3244           0.3783
   12.000    180.0674           65.3244           0.3783
   12.500    180.0674           65.3244           0.3783
   13.000    180.0674           65.3244           0.3783
   13.500    180.0674           65.3244           0.3783
   14.000    180.0674           65.3244           0.3783
   14.500    180.0674           65.3244           0.3783
   15.000    180.0674           65.3244           0.3783
   15.500    180.0674           65.3244           0.3783
   16.000    180.0674           65.3244           0.3783
   16.500    180.0674           65.3244           0.3783
   17.000    180.0674           65.3244           0.3783
   17.500    180.0674           65.3244           0.3783
   18.000    180.0674           65.3244           0.3783
   18.500    180.0674           65.3244           0.3783
   19.000    180.0674           65.3244           0.3783
   19.500    180.0674           65.3244           0.3783
   20.000    180.0674           65.3244           0.3783
   20.500    180.0674           65.3244           0.3783
   21.000    180.0674           65.3244           0.3783
   21.500    180.0674           65.3244           0.3783
   22.000    180.0674           65.3244           0.3783
   22.500    180.0674           65.3244           0.3783
   23.000    180.0674           65.3244           0.3783
   23.500    180.0674           65.3244           0.3783
   24.000    180.0674           65.3244           0.3783
   24.500    180.0674           65.3244           0.3783
   25.000    180.0674           65.3244           0.3783
   25.500    180.0674           65.3244           0.3783
   26.000    180.0674           65.3244           0.3783
   26.500    180.0674           65.3244           0.3783
   27.000    180.0674           65.3244           0.3783
   27.500    180.0674           65.3244           0.3783
   28.000    180.0674           65.3244           0.3783
   28.500    180.0674           65.3244           0.3783
   29.000    180.0674           65.3244           0.3783
   29.500    180.0674           65.3244           0.3783
   30.000    180.0674           65.3244           0.3783
   30.500    180.0674           65.3244           0.3783
   31.000    180.0674           65.3244           0.3783
   31.500    180.0674           65.3244           0.3783
   32.000    180.0674           65.3244           0.3783
   32.500    180.0674           65.3244           0.3783
   33.000    180.0674           65.3244           0.3783
   33.500    180.0674           65.3244           0.3783
   34.000    180.0674           65.3244           0.3783
