#k-distance frequency[THz]
0.00000000 -0.00000100
0.00247427 -0.00000099
0.00494854 -0.00000099
0.00742281 -0.00000101
0.00989707 -0.00000100
0.01237134 -0.00000100
0.01484561 -0.00000101
0.01731988 -0.00000102
0.01731988 -0.00000102
0.01993553 0.07617818
0.02255117 0.15220479
0.02516682 0.22793079
0.02778250 0.30321205
0.03039814 0.37791176
0.03301379 0.45190255
0.03562944 0.52506845
0.03824508 0.59730649
0.04086073 0.66852790
0.04347641 0.73865891
0.04609205 0.80764100
0.04870770 0.87543056
0.05132335 0.94199807
0.05393899 1.00732676
0.05655464 1.07141073
0.05917032 1.13425279
0.06178596 1.19586203
0.06440161 1.25625127
0.06701726 1.31543439
0.06963290 1.37342393
0.07224855 1.43022868
0.07486423 1.48585162
0.07747987 1.50483181
0.08009552 1.48439038
0.08271117 1.46763306
0.08532681 1.45496094
0.08794246 1.44665023
0.09055814 1.44286698
0.09317378 1.44367786
0.09578943 1.44906027
0.09840507 1.45891321
0.10102072 1.47306936
0.10363637 1.49130809
0.10625201 1.51336877
0.10886769 1.53896342
0.11148334 1.56778821
0.11409898 1.59953308
0.11671463 1.63388927
0.11933028 1.67055476
0.12194592 1.70923763
0.12456160 1.74965757
0.12717725 1.79154593
0.12979289 1.83464442
0.13240854 1.87870290
0.13502419 1.92347637
0.13763983 1.96872138
0.14025551 2.01419189
0.14287116 2.05963482
0.14548680 2.10478503
0.14810245 2.14935996
0.15071810 2.19305371
0.15333374 2.23553058
0.15594942 2.27641825
0.15856507 2.31530081
0.16118071 2.33002366
0.16379636 2.32605177
0.16641201 2.32224523
0.16902765 2.31882564
0.17164333 2.31597592
0.17425898 2.31383867
0.17687462 2.31251567
0.17949027 2.31206791
0.17949027 2.31206791
0.18196454 2.31206791
0.18443881 2.31206791
0.18691308 2.31206791
0.18938734 2.31206791
0.19186161 2.31206791
0.19433588 2.31206791
0.19681015 2.31206791
0.19681015 2.31206791
0.19942580 2.31251567
0.20204144 2.31383867
0.20465709 2.31597592
0.20727277 2.31882564
0.20988841 2.32224523
0.21250406 2.32605177
0.21511971 2.33002366
0.21773535 2.31530081
0.22035100 2.27641825
0.22296668 2.23553058
0.22558232 2.19305371
0.22819797 2.14935996
0.23081362 2.10478503
0.23342926 2.05963482
0.23604491 2.01419189
0.23866059 1.96872138
0.24127623 1.92347637
0.24389188 1.87870290
0.24650753 1.83464442
0.24912317 1.79154593
0.25173882 1.74965757
0.25435450 1.70923763
0.25697014 1.67055476
0.25958579 1.63388927
0.26220144 1.59953308
0.26481708 1.56778821
0.26743273 1.53896342
0.27004841 1.51336877
0.27266405 1.49130809
0.27527970 1.47306936
0.27789535 1.45891321
0.28051099 1.44906027
0.28312664 1.44367786
0.28574228 1.44286698
0.28835796 1.44665023
0.29097361 1.45496094
0.29358925 1.46763306
0.29620490 1.48439038
0.29882055 1.50483181
0.30143619 1.48585162
0.30405187 1.43022868
0.30666752 1.37342393
0.30928316 1.31543439
0.31189881 1.25625127
0.31451446 1.19586203
0.31713010 1.13425279
0.31974578 1.07141073
0.32236143 1.00732676
0.32497707 0.94199807
0.32759272 0.87543056
0.33020837 0.80764100
0.33282401 0.73865891
0.33543969 0.66852790
0.33805534 0.59730649
0.34067098 0.52506845
0.34328663 0.45190255
0.34590228 0.37791176
0.34851792 0.30321205
0.35113360 0.22793079
0.35374925 0.15220479
0.35636489 0.07617818
0.35898054 -0.00000100
0.35898054 -0.00000100
0.36161931 0.07641962
0.36425805 0.15280266
0.36689682 0.22911343
0.36953559 0.30531787
0.37217433 0.38138434
0.37481310 0.45728420
0.37745187 0.53299223
0.38009061 0.60848680
0.38272938 0.68374972
0.38536815 0.75876579
0.38800689 0.83352180
0.39064566 0.90800499
0.39328443 0.98220072
0.39592317 1.05608873
0.39856194 1.12963691
0.40120071 1.20278880
0.40383945 1.27543408
0.40647822 1.34731822
0.40911699 1.41765741
0.41175573 1.48228633
0.41439450 1.50911944
0.41703327 1.48855511
0.41967201 1.46165006
0.42231078 1.43569778
0.42494955 1.41225490
0.42758829 1.39201631
0.43022706 1.37539808
0.43286583 1.36266950
0.43550457 1.35399753
0.43814334 1.34946745
0.44078211 1.34909590
0.44342085 1.35284182
0.44605962 1.36061680
0.44869839 1.37229545
0.45133713 1.38772538
0.45397590 1.40673643
0.45661464 1.42914866
0.45925341 1.45477885
0.46189218 1.48344528
0.46453092 1.51497076
0.46716969 1.54918434
0.46980846 1.58592156
0.47244720 1.62502392
0.47508597 1.66633765
0.47772474 1.70971215
0.48036348 1.75499841
0.48300225 1.80204745
0.48564102 1.85070905
0.48827976 1.90083082
0.49091853 1.95225752
0.49355730 2.00483083
0.49619604 2.05838934
0.49883481 2.11276882
0.50147358 2.16780269
0.50411232 2.22332252
0.50675109 2.27915866
0.50938986 2.33514084
0.51202860 2.39109861
0.51466737 2.44686183
0.51730614 2.50226084
0.51994488 2.55712655
0.52258365 2.61129030
0.52522242 2.66458346
0.52786116 2.71683683
0.53049993 2.76787957
0.53313870 2.81753784
0.53577744 2.86563273
0.53841621 2.91197693
0.54105498 2.95636869
0.54369372 2.99857160
0.54633249 3.03435863
0.54633249 3.03435863
0.54880676 3.03435863
0.55128102 3.03435863
0.55375529 3.03435863
0.55622956 3.03435863
0.55870383 3.03435863
0.56117810 3.03435863
0.56365237 3.03435863
0.56365237 3.03435863
0.56629114 2.99857160
0.56892988 2.95636869
0.57156865 2.91197693
0.57420742 2.86563273
0.57684616 2.81753784
0.57948493 2.76787957
0.58212370 2.71683683
0.58476244 2.66458346
0.58740121 2.61129030
0.59003998 2.55712655
0.59267872 2.50226084
0.59531749 2.44686183
0.59795626 2.39109861
0.60059500 2.33514084
0.60323377 2.27915866
0.60587254 2.22332252
0.60851128 2.16780269
0.61115005 2.11276882
0.61378882 2.05838934
0.61642756 2.00483083
0.61906633 1.95225752
0.62170509 1.90083082
0.62434384 1.85070905
0.62698261 1.80204745
0.62962137 1.75499841
0.63226012 1.70971215
0.63489889 1.66633765
0.63753765 1.62502392
0.64017640 1.58592156
0.64281517 1.54918434
0.64545393 1.51497076
0.64809268 1.48344528
0.65073144 1.45477885
0.65337021 1.42914866
0.65600896 1.40673643
0.65864772 1.38772538
0.66128647 1.37229545
0.66392524 1.36061680
0.66656400 1.35284182
0.66920275 1.34909590
0.67184152 1.34946745
0.67448028 1.35399753
0.67711903 1.36266950
0.67975779 1.37539808
0.68239656 1.39201631
0.68503531 1.41225490
0.68767407 1.43569778
0.69031284 1.46165006
0.69295159 1.48855511
0.69559035 1.50911944
0.69822912 1.48228633
0.70086787 1.41765741
0.70350663 1.34731822
0.70614540 1.27543408
0.70878415 1.20278880
0.71142291 1.12963691
0.71406168 1.05608873
0.71670042 0.98220072
0.71933919 0.90800499
0.72197796 0.83352180
0.72461670 0.75876579
0.72725547 0.68374972
0.72989424 0.60848680
0.73253298 0.53299223
0.73517175 0.45728420
0.73781052 0.38138434
0.74044926 0.30531787
0.74308803 0.22911343
0.74572680 0.15280266
0.74836554 0.07641962
0.75100431 -0.00000102

0.00000000 -0.00000082
0.00247427 -0.00000081
0.00494854 -0.00000083
0.00742281 -0.00000082
0.00989707 -0.00000083
0.01237134 -0.00000082
0.01484561 -0.00000083
0.01731988 -0.00000083
0.01731988 -0.00000083
0.01993553 0.13302163
0.02255117 0.26582490
0.02516682 0.39818305
0.02778250 0.52985071
0.03039814 0.66054946
0.03301379 0.78994477
0.03562944 0.91760519
0.03824508 1.04292539
0.04086073 1.16497446
0.04347641 1.28220131
0.04609205 1.39193537
0.04870770 1.48983831
0.05132335 1.56997790
0.05393899 1.62644392
0.05655464 1.65664605
0.05917032 1.66360777
0.06178596 1.65393754
0.06440161 1.63414114
0.06701726 1.60900634
0.06963290 1.58171702
0.07224855 1.55437377
0.07486423 1.52840717
0.07747987 1.54028813
0.08009552 1.59352445
0.08271117 1.64553655
0.08532681 1.69628927
0.08794246 1.74573589
0.09055814 1.79381801
0.09317378 1.84046582
0.09578943 1.88559887
0.09840507 1.92912716
0.10102072 1.97095281
0.10363637 2.01097210
0.10625201 2.04907799
0.10886769 2.08516300
0.11148334 2.11912236
0.11409898 2.15085720
0.11671463 2.18027773
0.11933028 2.20730611
0.12194592 2.23187883
0.12456160 2.25394875
0.12717725 2.27348654
0.12979289 2.29048212
0.13240854 2.30494615
0.13502419 2.31691234
0.13763983 2.32644078
0.14025551 2.33362254
0.14287116 2.33858484
0.14548680 2.34149573
0.14810245 2.34256616
0.15071810 2.34204784
0.15333374 2.34022585
0.15594942 2.33740674
0.15856507 2.33390401
0.16118071 2.35171242
0.16379636 2.38513323
0.16641201 2.41499018
0.16902765 2.44066709
0.17164333 2.46152951
0.17425898 2.47696939
0.17687462 2.48646962
0.17949027 2.48967817
0.17949027 2.48967817
0.18196454 2.48967817
0.18443881 2.48967817
0.18691308 2.48967817
0.18938734 2.48967817
0.19186161 2.48967817
0.19433588 2.48967817
0.19681015 2.48967817
0.19681015 2.48967817
0.19942580 2.48646962
0.20204144 2.47696939
0.20465709 2.46152951
0.20727277 2.44066709
0.20988841 2.41499018
0.21250406 2.38513323
0.21511971 2.35171242
0.21773535 2.33390401
0.22035100 2.33740674
