#k-distance eigenvalue[eV]
0.00000000 -15.50327025
0.07353615 -15.49397025
0.14707228 -15.46687025
0.22060842 -15.42347025
0.29414457 -15.36717025
0.36768070 -15.30287025
0.44121685 -15.23907025
0.51475300 -15.18857025
0.58828913 -15.16737025
0.58828913 -15.16737025
0.65365459 -15.18787025
0.71902002 -15.25227025
0.78438549 -15.36127025
0.84975095 -15.50557025
0.91511641 -15.67367025
0.98048188 -15.85617025
1.04584734 -16.04557025
1.11121277 -16.23517025
1.17657824 -16.41967025
1.24194370 -16.59447025
1.30730916 -16.75597025
1.37267463 -16.90107025
1.43804009 -17.02747025
1.50340556 -17.13307025
1.56877099 -17.21667025
1.63413645 -17.27707025
1.69950192 -17.31367025
1.76486738 -17.32587025
1.76486738 -17.32587025
1.83279716 -17.31267025
1.90072696 -17.27317025
1.96865674 -17.20807025
2.03658652 -17.11797025
2.10451632 -17.00427025
2.17244610 -16.86877025
2.24037588 -16.71377025
2.30830568 -16.54237025
2.37623546 -16.35887025
2.44416523 -16.16847025
2.51209503 -15.97877025
2.58002481 -15.80007025
2.64795459 -15.64747025
2.71588439 -15.54157025
2.78381417 -15.50327025

0.00000000 -15.45597025
0.07353615 -15.44737025
0.14707228 -15.42247025
0.22060842 -15.38307025
0.29414457 -15.33307025
0.36768070 -15.27777025
0.44121685 -15.22447025
0.51475300 -15.18337025
0.58828913 -15.16737025
0.58828913 -15.16737025
0.65365459 -15.18247025
0.71902002 -15.23197025
0.78438549 -15.31477025
0.84975095 -15.42757025
0.91511641 -15.56517025
0.98048188 -15.72137025
1.04584734 -15.88917025
1.11121277 -16.06177025
1.17657824 -16.23307025
1.24194370 -16.39787025
1.30730916 -16.55157025
1.37267463 -16.69077025
1.43804009 -16.81267025
1.50340556 -16.91497025
1.56877099 -16.99617025
1.63413645 -17.05497025
1.69950192 -17.09057025
1.76486738 -17.10247025
1.76486738 -17.10247025
1.83279716 -17.08957025
1.90072696 -17.05117025
1.96865674 -16.98777025
2.03658652 -16.90037025
2.10451632 -16.79037025
2.17244610 -16.65987025
2.24037588 -16.51177025
2.30830568 -16.34967025
2.37623546 -16.17867025
2.44416523 -16.00537025
2.51209503 -15.83817025
2.58002481 -15.68727025
2.64795459 -15.56507025
2.71588439 -15.48437025
2.78381417 -15.45597025

0.00000000 -15.12407025
0.07353615 -15.11857025
0.14707228 -15.10247025
0.22060842 -15.07707025
0.29414457 -15.04397025
0.36768070 -15.00537025
0.44121685 -14.96227025
0.51475300 -14.91267025
0.58828913 -14.85287025
0.58828913 -14.85287025
0.65365459 -14.91617025
0.71902002 -14.98647025
0.78438549 -15.06467025
0.84975095 -15.15707025
0.91511641 -15.26777025
0.98048188 -15.39607025
1.04584734 -15.53767025
1.11121277 -15.68717025
1.17657824 -15.83867025
1.24194370 -15.98687025
1.30730916 -16.12717025
1.37267463 -16.25567025
1.43804009 -16.36917025
1.50340556 -16.46517025
1.56877099 -16.54157025
1.63413645 -16.59717025
1.69950192 -16.63097025
1.76486738 -16.64227025
1.76486738 -16.64227025
1.83279716 -16.63007025
1.90072696 -16.59367025
1.96865674 -16.53367025
2.03658652 -16.45137025
2.10451632 -16.34827025
2.17244610 -16.22697025
2.24037588 -16.09037025
2.30830568 -15.94267025
2.37623546 -15.78867025
2.44416523 -15.63477025
2.51209503 -15.48777025
2.58002481 -15.35507025
2.64795459 -15.24277025
2.71588439 -15.15887025
2.78381417 -15.12407025

0.00000000 -14.74737025
0.07353615 -14.74557025
0.14707228 -14.74077025
0.22060842 -14.73557025
0.29414457 -14.73347025
0.36768070 -14.73947025
0.44121685 -14.75887025
0.51475300 -14.79617025
0.58828913 -14.85277025
0.58828913 -14.85277025
0.65365459 -14.79117025
0.71902002 -14.72607025
0.78438549 -14.66257025
0.84975095 -14.60507025
0.91511641 -14.55657025
0.98048188 -14.51877025
1.04584734 -14.49247025
1.11121277 -14.47747025
1.17657824 -14.47307025
1.24194370 -14.47737025
1.30730916 -14.48857025
1.37267463 -14.50437025
1.43804009 -14.52237025
1.50340556 -14.54037025
1.56877099 -14.55657025
1.63413645 -14.56927025
1.69950192 -14.57737025
1.76486738 -14.58017025
1.76486738 -14.58017025
1.83279716 -14.57717025
1.90072696 -14.56837025
1.96865674 -14.55477025
2.03658652 -14.53767025
2.10451632 -14.51907025
2.17244610 -14.50137025
2.24037588 -14.48747025
2.30830568 -14.48077025
2.37623546 -14.48477025
2.44416523 -14.50277025
2.51209503 -14.53727025
2.58002481 -14.58877025
2.64795459 -14.65337025
2.71588439 -14.71717025
2.78381417 -14.74737025

0.00000000 -9.34997025
0.07353615 -9.33877025
0.14707228 -9.30597025
0.22060842 -9.25467025
0.29414457 -9.19057025
0.36768070 -9.12257025
0.44121685 -9.06257025
0.51475300 -9.02167025
0.58828913 -9.00147025
0.58828913 -9.00147025
0.65365459 -9.01417025
0.71902002 -9.01537025
0.78438549 -8.98867025
0.84975095 -8.92497025
0.91511641 -8.82477025
0.98048188 -8.69827025
1.04584734 -8.56567025
1.11121277 -8.45357025
1.17657824 -8.38597025
1.24194370 -8.37177025
1.30730916 -8.40187025
1.37267463 -8.45897025
1.43804009 -8.52707025
1.50340556 -8.59447025
1.56877099 -8.65307025
1.63413645 -8.69787025
1.69950192 -8.72597025
1.76486738 -8.73547025
1.76486738 -8.73547025
