#k-distance eigenvalue[eV]
0.00000000 -14.05311161
0.03096259 -14.05161161
0.06192517 -14.04731161
0.09288776 -14.04001161
0.12385035 -14.02991161
0.15481293 -14.01701161
0.18577552 -14.00141161
0.21673811 -13.98331161
0.24770069 -13.96281161
0.27866328 -13.93991161
0.30962587 -13.91501161
0.34058845 -13.88811161
0.37155104 -13.85951161
0.40251363 -13.82941161
0.43347621 -13.79801161
0.46443878 -13.76561161
0.49540137 -13.73241161
0.52636395 -13.69881161
0.55732654 -13.66511161
0.58828913 -13.63251161
0.58828913 -13.63251161
0.65021430 -13.70901161
0.71213947 -13.80791161
0.77406465 -13.92671161
0.83598982 -14.06261161
0.89791496 -14.21211161
0.95984013 -14.37111161
1.02176530 -14.53521161
1.08369048 -14.70011161
1.14561565 -14.86201161
1.20754082 -15.01721161
1.26946600 -15.16301161
1.33139117 -15.29671161
1.39331634 -15.41631161
1.45524151 -15.52001161
1.51716669 -15.60661161
1.57909186 -15.67491161
1.64101703 -15.72431161
1.70294221 -15.75411161
1.76486738 -15.76401161
1.76486738 -15.76401161
1.81849616 -15.75661161
1.87212494 -15.73421161
1.92575372 -15.69711161
1.97938250 -15.64551161
2.03301128 -15.58001161
2.08664006 -15.50101161
2.14026884 -15.40941161
2.19389762 -15.30601161
2.24752640 -15.19201161
2.30115516 -15.06881161
2.35478394 -14.93811161
2.40841272 -14.80201161
2.46204149 -14.66311161
2.51567027 -14.52431161
2.56929905 -14.38981161
2.62292783 -14.26501161
2.67655661 -14.15801161
2.73018539 -14.08171161
2.78381417 -14.05311161

0.00000000 -13.88061161
0.03096259 -13.87911161
0.06192517 -13.87491161
0.09288776 -13.86781161
0.12385035 -13.85811161
0.15481293 -13.84581161
0.18577552 -13.83121161
0.21673811 -13.81441161
0.24770069 -13.79571161
0.27866328 -13.77541161
0.30962587 -13.75391161
0.34058845 -13.73151161
0.37155104 -13.70881161
0.40251363 -13.68621161
0.43347621 -13.66431161
0.46443878 -13.64381161
0.49540137 -13.62551161
0.52636395 -13.61111161
0.55732654 -13.60881161
0.58828913 -13.63251161
0.58828913 -13.63251161
0.65021430 -13.61221161
0.71213947 -13.65831161
0.77406465 -13.73091161
0.83598982 -13.82761161
0.89791496 -13.94521161
0.95984013 -14.07921161
1.02176530 -14.22441161
1.08369048 -14.37531161
1.14561565 -14.52701161
